实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
安贞街道,,安贞街道,,,,,,,,,,,,,,,,,,,,,,,街道,北京朝阳,朝阳区西北部,辖6个社区,朝阳区安华西里1区13号楼,西黄寺,,,,,,,,,,
安华里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布莱顿,布莱顿,,Brighton,,,,,,,,,,,,,,,,,,,,,,,,英格兰南部,,,,,,,,,,,,,
纳土纳群岛,纳土纳群岛,,Natuna Islands,,,,,,,,,,,,,,,,,,,,,,,,南海最南部,,,,,,,,,,,,,
牙山市,,牙山市,,,,,,,,,,,,,,,,,,,,,,,市,韩国,韩国忠清南道北部,10面、7洞,,,,,,,,,,,,
镇川郡,镇川郡,,진천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千叶县,,千叶县,,,,房总,,,,,,,,,,,,,,,,,,,一级行政区,日本国,位于日本关东平原东南部,千叶市等,千叶市,"东京迪士尼乐园,东京迪斯尼海洋,成田山新胜寺等",,,,,,,,,,
南加州,,南加州,,,,,,,,,,,,,,,,,,,,,,,,,美国西海岸,,,,,,,,,,,,,
台中市,,台中,,,,中市,,,,,,,,,,,,,,,,,,,"省辖市(1945-2010),“直辖市”(2010-)",中国台湾地区中部,台湾本岛中西部,29区,台中市西屯区台湾大道三段99号,台湾自然科学博物馆、高美湿地、台湾美术馆、逢甲夜市,,,,,,,,,,
努沙登加拉群岛,,小巽他群岛,,,,努沙登加拉群岛,,,,,,,,,,,,,,,,,,,,东南亚,,,,巴厘岛等,,,,,,,,,,
圣诞岛,圣诞岛,,The Territory of Christmas Island,,,圣诞岛领地,,,,,,,UTC+7,,,,,,,,,,,,海外领地,澳大利亚,位于爪哇岛以南,,飞鱼湾,全岛约70%的面积都是国家公园,,,,,,,,,,
约克市,,约克,,,,北方都城,,,,,,,,,,,,,,,,,,,自治市,英国东北部,英格兰北约克郡,,,"约克大教堂,克利福德塔",,,,,,,,,,
牛津郡,,牛津郡,,,,,,,,,,,,,,,,,,,,,,,非都市郡区,英国英格兰南部,位于泰晤士河上游盆地,查韦尔、白马谷、牛津、西牛津郡,牛津,布伦海姆宫(Blenheim Palace),,,,,,,,,,
珍宝岛,,珍宝岛,,,,达曼斯基岛,,,,,,,东八区(UTC+8),,,,,,,,,,,,岛屿,黑龙江省鸡西市虎林市珍宝岛乡,"46°29'1.19""N, 133°50'39.03""E",,,英雄树、乌苏里江,,,,,,,,,,
库姆市,,库姆市,,,,,,,,,,,,,,,,,,,,,,,市,库姆省,"库姆河畔,紧靠卡维尔盐漠",库姆郡,库姆市,法蒂玛陵墓,,,,,,,,,,
曼努菲亚省,,曼努菲亚省(米努夫省),,,,,,,,,,,,,,,,,,,,,,,省,埃及,,,希宾库姆,,,,,,,,,,,
穆巴拉克,穆罕默德·胡斯尼·穆巴拉克,,英文Muhammed Hosni Mubarak;阿拉伯语محمد حسنى سيد مبارك‎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃及共和国,阿拉伯埃及共和国[1] ,,The Arab Republic of Egypt[1] ,,埃及,,EGY,总统制共和制,"总统:阿卜杜勒·法塔赫·塞西,总理:穆斯塔法·马德布利",开罗[1] ,1001449 km2[1] ,非洲,UTC+2,埃及镑[1] ,阿拉伯人、科普特人[1] ,伊斯兰教-逊尼派、基督教-科普特教会[1] ,"亚历山大,伊斯梅利亚,塞得港,沙姆沙伊赫,卢克索,阿斯旺等[1] ",阿拉伯语[1] ,《我的祖国》[1] ,1952年7月23日[1] ,,,,,,,,,,,,,,,,,,,,
萨达特,穆罕默德·安瓦尔·萨达特,,"Sadāt,Mohammed Anwaras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃塞尔比亚,埃塞俄比亚联邦民主共和国[1] ,,The Federal Democratic Republic of Ethiopia[1] ,,埃塞俄比亚,,ETH,议会制共和制,"总统:萨赫勒-沃克·祖德,总理:阿比·艾哈迈德·阿里",亚的斯亚贝巴[1] ,1103600 km2[1] ,非洲,UTC+3至UTC+4,埃塞俄比亚比尔、辅币分,奥罗莫族、阿姆哈拉族、提格雷族、索马里族、锡达莫族[1] ,埃塞俄比亚正教、伊斯兰教[1] ,德雷达瓦、季马、哈勒尔等,"阿姆哈拉语为联邦工作语言,通用英语[1] ","《前进,我的母亲埃塞俄比亚》",9月11日[1] ,亚的斯亚贝巴,,,,,,,,,,,,,,,,,,,
布鲁塞尔中心广场,布鲁塞尔大广场,,Grand-Place Brussels,,,,,,,,,欧洲,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒙克洛亚宫,蒙克洛亚宫,,Moncloa Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨里郡,萨里郡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西北,西北地区[2] ,,the Northwestern District,,,西北、中国西北,,,,,,,,,汉族、回族、维吾尔族等,,,,,,,,,,,中华人民共和国,,,,麦积山、莫高窟、西夏陵、大雁塔、天山等,,,,,,,,,,
吴中,吴中区,,Wuzhong District,,,,,,,,,,,,,,,,,,,,,320506,市辖区,中国江苏省苏州市,"江苏省苏州市东南部,太湖东岸","7个街道、7个镇,另辖6个乡级单位",苏州市太湖东路288号,"木渎古镇,甪直、太湖景区、天平山、旺山风景区、宝带桥等",,,,,,,,,,
石家庄,石家庄,,Shijiazhuang,,,石门,,,,,,,,,,,,,,,,,,130100,地级市,中国华北地区,"华北平原腹地,太行山东麓,滹沱河上游","8个区、11个县,代管3个县级市",长安区中山东路216号,西柏坡、正定古城、隆兴寺、赵州桥、沕沕水、苍岩山、荣国府,,,,,,邓沛然[17] ,邢国辉,,,
威尼托大区,,威内托大区,,,,,,,,,,,,,,,,,,,,,,,大区,意大利北部,意大利东北部,维罗纳、维琴察、特雷维索等,威尼斯,圣马可教堂、叹息桥、朱丽叶故居等,,,,,,,,,,
约旦,约旦哈希姆王国[1] ,,The Hashemite Kingdom of Jordan;Jordan[1] ,,约旦,,JOR,二元制君主立宪制,国王:阿卜杜拉二世、首相:阿卜杜拉·恩苏尔[1] ,安曼[1] ,89000 km2,亚洲,UTC+2,约旦第纳尔[1] ,阿拉伯人[1] ,伊斯兰教-逊尼派、东正教[1] ,"伊尔比德,亚喀巴等[1] ",阿拉伯语[1] ,《国王万岁》,1946年5月25日[1] ,安曼,,,,,,,,,,,,,,,,,,,
拉脱维亚,,拉脱维亚共和国[2] ,,The Republic of Latvia[2] ,拉脱维亚,,LVA,议会制共和制,总统:埃吉尔斯·列维特斯;总理:马里斯·库钦斯基斯,里加[2] ,64589平方公里[2] ,欧洲,UTC+2(夏时制:UTC+3),欧元[2] ,拉脱维亚人[2] ,基督教路德宗、天主教[2] ,"道加瓦皮尔斯,利耶帕亚,文茨皮尔斯,尤尔马拉等[2] ",拉脱维亚语[2] ,《上帝保佑拉脱维亚》,11月18日[2] ,里加,,,,,,,,,,,,,,,,,,,
安道尔,安道尔公国[1] ,,The Principality of Andorra[1] ,,安道尔,,AND,议会制君主立宪制,大公:埃马纽埃尔·马克龙和霍安·恩里克·比韦斯·西西利亚,安道尔城[1] ,468 km2[1] ,欧洲,UTC+1,欧元[1] ,安道尔人[1] ,天主教[1] ,"卡尼略,恩坎普,马萨纳,奥尔迪诺等[1] ",加泰罗尼亚语[1] ,"《伟大的查理曼,我的父亲》",819年9月8日[1] ,安道尔城,,,,,,,,,,,,,,,,,,,
仙桃市,仙桃市,,Xiantao,,,沔阳、复州、沔州,,,,,,,,,,,,,,,,,,429004,省直辖县级行政单位,湖北省,"湖北省中南部,江汉平原腹地",3街道、15镇、7乡级单位,仙桃市沔州大道特1号,仙桃梦里水乡、沔阳小镇、陈友谅纪念馆、沙湖国家湿地公园、沔街、沔城,,,,,,,,,,
大邱市,大邱,,대구 Daegu[2] ,,,大邱,,,,,,,,,,,,,,,,,,,广域市,韩国岭南地区,朝鲜半岛东南端,"7区,1郡,6邑,3面,130个行政洞,195个法定洞",大邱广域市中区公平路88号,八公山、新川、寿城池、东城路 等,,,,,,权泳臻,,,,
庆尚北道,庆尚北道,,韩文:경상북도;罗马字:Gyeongsangbuk-Do[3] ,,,庆北,,,,,,,,,,,,,,,,,,,道,大韩民国,韩国东南部,"10市13郡,浦项市、安东市等",安东市(庆尚北道道厅新城),,,,,,,,,,,
广域市,,广域市,,,,,,,,,,,,,,,,,,,,,,,中央直辖市,韩国,,,,,,,,,,,,,,
青瓦台,青瓦台,,Cheongwadae/Blue House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基里巴斯,基里巴斯共和国,,The Republic of Kiribati,,基里巴斯,,KIR,总统制共和制,总统:塔内希·马茂,塔拉瓦(Tarawa),811 km2,大洋洲,UTC+12至UTC+14,通用澳元、美元,密克罗尼西亚人、波利尼西亚人,天主教、基督新教,塔拉瓦(Tarawa),英语,"《站起来,基里巴斯!》",1979年7月12日,塔拉瓦,,,,,,,,,,,,,,,,,,,
延边朝鲜族自治州,延边朝鲜族自治州,,Yanbian Korean Autonomous Prefecture(英语)/연변조선족자치주(朝鲜语),,,延边州、延边自治州,,,,,,,,,,,,,,,,,,222400,自治州、地级行政区[1] ,中国·吉林省,东北亚、中国吉林省东部,6市2县,延吉市公园路2799号,长白山风景区、仙景台自然风景区、安图县明月湖等,,,,,,,,,,
青岛市,青岛,,Qingdao、Tsingtao,,,岛城、琴岛、胶澳,,,,,,,,,,,,,,,,,,370200[20] ,地级市,中国华东地区,"山东半岛东南部沿海,黄海北部",7个区、代管3个县级市,市南区香港中路11号,崂山、五四广场、八大关、栈桥、青岛奥帆中心、金沙滩、大珠山等,,,,,,,,,,
美国领事馆,美国领事馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威尔特郡,,威尔特郡,,,,,,,,,,,,,,,,,,,,,,,"名誉郡,单一管理区",,英格兰西南区域,,,,,,,,,,,,,
美国疾病控制中心,美国疾病控制与预防中心,,Centers for Disease Control and Prevention,,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈密尔顿,汉密尔顿或哈密尔顿,,Hamilton,,,咸美顿,,,,,,,,,,,,,,,,,,,市,加拿大安大略省,加拿大安大略省东南部,,汉密尔顿,皇家植物花园,,,,,,,,,,
图们江,,图们江,,,,,,,,,,,,,,,,,,,,,,,,,中国吉林省东南部朝鲜东北部,,,,,,,,,,,,,
南韩,大韩民国[3] ,,"韩语:대한민국;英语:Republic of Korea,South Korea[4] ",,韩国,,KOR,总统制共和制,总统:文在寅(Moon Jae-in),首尔[5] ,约 100000 km2,亚洲,UTC+9,"韩元(KRW,₩)[4] ",韩民族[4] ,基督新教、佛教、天主教[6] ,"釜山,仁川,蔚山,大邱,大田,光州,水原,济州市等[4] ",韩语[4] ,《爱国歌》[3] ,1948年8月15日[4] ,,,大陆法系和英美法系,,,,,,,南山塔、乐天世界、雪岳山、济州岛,,,,,,,,,,
鸭绿江,,鸭绿江,,[词典]the Yalu River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大都,,元大都,,,,大都,,,,,,,,,,,,,,,,,,,元朝首都,大都路,北京,,,,,,,,,,,,,
开城工业园,开城工业园区,,"개성공업지구 Kaesong Industrial Region,",,,,,,,,,,,,,,,,,,,,,,,,"平壤南170公里,在开城以南8公里",,,,,,,,,,,,,
文在寅,文在寅,,문재인、Moon Jae-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开城,开城特级市,,개성특급시(谚文),,,松都、松岳、开京、松京,,,,,,,,,,,,,,,,,,,特级市,朝鲜民主主义人民共和国,朝鲜西南部,,,开城古迹,,,,,,,,,,
仁川,仁川,,Incheon[1] ,,,仁川广域市[1] ,,,,,,,,,,,,,,,,,,,广域市(直辖市),仁川广域市,朝鲜半岛中西部,"2郡,8区,1邑,19面,125个洞",,"信岛,传灯寺,松岛国际城",,,,,,,,,,
纽曼,,,Newsmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德塞,,德塞,,,,德西埃,,,,,,,,,,,,,,,,,,,,埃塞俄比亚,,,,,,,,,,,,,,
西哈努克港,,西哈努克港,,,,西港,,,,,,,,,,,,,,,,,,,湾颈港、基本港,柬埔寨的西南部,位于柬埔寨首都金边西南240公里,西哈努克港经济特区,,"奥彻海滩,高龙岛、龙岛、索卡海滩",,,,,,,,,,
曼谷,,曼谷,,,,泰京、军贴、共台甫[4] ,,,,,,,,,,,,,,,,,,,首都,泰国,湄南河三角洲,"挽叻区,达思特地区",,大皇宫、四面佛、考山路、暹罗广场、曼谷唐人街等,,,,,,苏煌班德亲王,,,,
泰国湾,泰国湾,,"อ่าวไทย,Gulf of Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西哈努克,诺罗敦·西哈努克,,Norodom Sihanouk,,,西哈努克亲王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上岸,上岸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天河国际机场,武汉天河国际机场,,Wuhan Tianhe International Airport,,,,,,,,,,,,,,,,,,,,,,,中国湖北省武汉市,,,,,,,,,,,,,,
福建,福建,,Fujian、Hokkien,,,闽、八闽、海西,,,,,,,,,,,,,,,,,,,省,中国华东地区,中国东南沿海,9个地级市,福州市鼓楼区华林路76号[4] ,鼓浪屿、武夷山、三坊七巷、湄洲岛、白水洋、太姥山、清源山[2] ,,,,,,,,,,
温州,温州,,"Wenzhou,Yujeu",,,瓯、东瓯、鹿城、白鹿城,,,,,,,,,,,,,,,,,,330300,地级市,中国华东地区,浙江省东南部,4个区、5个县、代管3个县级市,鹿城区绣山路321号,楠溪江、雁荡山、百丈漈、飞云湖、南麂岛、乌岩岭、江心屿等,,,,,,姚高员[16] ,陈伟俊[15] ,,,
义乌,义乌,,Yiwu City、Nyi'u City,,,乌伤、乌孝,,,,,,,,,,,,,,,,,,330782,县级市,浙江省,浙江省金华市,8个街道、6个镇,稠城街道,义乌国际商贸城、德胜岩、冯雪峰故居、双林寺等,,,,,,,,,,
温岭,温岭市,,,,,太平,,,,,,,,,,,,,,,,,,,县级市,中国华东,"浙江省台州市,台州湾以南","太平街道,城东街道,城西街道等",太平街道人民东路258号,千年曙光碑、长屿硐天、熊猫馆、方山、石夫人、东辉阁、锦屏公园,,,,,,,,,,
温州市,温州,,"Wenzhou,Yujeu",,,瓯、东瓯、鹿城、白鹿城,,,,,,,,,,,,,,,,,,330300,地级市,中国华东地区,浙江省东南部,4个区、5个县、代管3个县级市,鹿城区绣山路321号,楠溪江、雁荡山、百丈漈、飞云湖、南麂岛、乌岩岭、江心屿等,,,,,,姚高员[16] ,陈伟俊[15] ,,,
北京首都机场,北京首都国际机场,,Beijing Capital International Airport,,,,,,,,,,,,,,,,,,,,,,,中国北京市,,,,,,,,,,,,,,
虹桥机场,上海虹桥国际机场,,Shanghai Hongqiao International Airport,,,,,,,,,,,,,,,,,,,,,,,"中国华东,上海市长宁区",,,,,,,,,,,,,,
高崎机场,厦门高崎国际机场,,Xiamen Gaoqi International Airport,,,,,,,,,,,,,,,,,,,,,,,"中国华东,福建省厦门市",,,,,,,,,,,,,,
成都双流机场,成都双流国际机场,,Chengdu Shuangliu International Airport,,,,,,,,,,,,,,,,,,,,,,,四川省成都市双流区,,,,,,,,,,,,,,
多佛,英国多佛港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中美洲,中美洲,,Central America或者Mesoamerican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本国,日本国[4] ,,Japan[4] ,,日本,,JPN,议会制君主立宪制,德仁(今上天皇)[7] 、菅义伟(首相),东京[4] ,377962 km2[4] ,亚洲,UTC+9,日元(円、¥、JPY、yen)[4] ,大和族、琉球族、阿伊努族[4] ,神道教[4] 、佛教,"大阪,横滨,名古屋,神户,福冈,京都,札幌,仙台,广岛等[4] ",,《君之代》[4] ,12月23日[4] ,,天皇,欧陆法系,,,,,,,银座、京都、富士山、平城京,,,,,,,,,,
汉口,汉口,,"Hankou,Hankow",,,东方芝加哥,,,,,,,,,,,,,,,,,,,特别市(1926-1949年),湖北省武汉市,"武汉市长江西北岸,汉江北岸",江岸区、江汉区、硚口区,,汉口江滩、江汉路、汉口租界、中山大道、中山公园、武汉博物馆等,,,,,,,,,,
黄鹤楼,,黄鹤楼,,,,,,,,,,,,,,,,,,,,,,,,,湖北省武汉市,,,,,,,,,,,,,
村庄,村庄:阿雉阿拉的秘密,,마을 - 아치아라의 비밀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可伦坡,科伦坡,,Colombo,,,,,,,斯里贾亚瓦德纳普拉克特,,,,,,,,,,,,,,,,,"北纬 6°55', 东经 79°52'",,,,,,,,,,,,,
希思罗机场,希思罗机场,,Heathrow Airport,,,,,,,,,,,,,,,,,,,,,,,英国英格兰大伦敦希灵登区,,,,,,,,,,,,,,
伦敦机场,希思罗机场,,Heathrow Airport,,,,,,,,,,,,,,,,,,,,,,,英国英格兰大伦敦希灵登区,,,,,,,,,,,,,,
阿波市,,阿波市,,,,,,,,,,,,,,,,,,,,,,,,,德岛县东北部吉野川北岸,,,,,,,,,,,,,
景福宫,,景福宫,,,,,,,,,,,,,,,,,,,,,,,,,韩国首尔市钟路区世宗路1号,,,勤政殿、光化门、思政殿、庆会楼等,,,,,,,,,,
箱根町,箱根町,,hakone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清水寺,,清水寺,,,,,,,,,,,,,,,,,,,,,,,,,京都府京都市东山区清水1-294,,,音羽瀑布,,,,,,,,,,
伊藤洋华堂,伊藤洋华堂,,Ito Yokado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奎松市,奎松,,Quezon City,,,菲律宾的好莱坞,,,,,,,,,,,,,,,,,,,市,马尼拉大都会区,菲国吕宋岛西部沿海,,,,,,,,,,,,,
黄冈,,黄冈,,,,鄂东明珠、水岸都市,,,,,,,,,,,,,,,,,,421100,地级市,湖北省,"长江中游北岸,大别山南麓",1市辖区、2县级市、7县、1管理区,黄州区七一路8号,东坡赤壁、青云塔、遗爱湖、横岗山、龟峰山、天堂寨、五祖寺等,,,,,,,,,,
北京站,北京站,,Beijing Railway Station,,,,,,,,,,,,,,,,,,,,,,,中国北京市,,,,,,,,,,,,,,
闽,福建,,Fujian、Hokkien,,,闽、八闽、海西,,,,,,,,,,,,,,,,,,,省,中国华东地区,中国东南沿海,9个地级市,福州市鼓楼区华林路76号[4] ,鼓浪屿、武夷山、三坊七巷、湄洲岛、白水洋、太姥山、清源山[2] ,,,,,,,,,,
澳門,澳门,,Macau(葡)、Macao(英),,,妈港、濠江、梳打埠、马交、濠海、濠镜、濠镜澳、香山澳等,,行政主导的代议民主制,,,,,,人民币、澳门币、港币,,,,中文(含粤语、普通话)、葡语[9] ,,,,,大陆法系,820000,特别行政区,中华人民共和国 华南地区,珠江三角洲西南部、珠江口西岸,7个堂区,澳门半岛风顺堂区南湾湖景大马路131号,澳门历史城区、大三巴牌坊、观光塔、葡京赌场、妈阁庙、谭公庙等,,,,,,,,,,
乌拉尔,乌拉尔,,Ural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东京羽田机场,东京国际机场,,Tokyo International Airport,,,,,,,,,,,,,,,,,,,,,,,日本国东京都,,,,,,,,,,,,,,
长江,长江,,the Changjiang River/the Yangtze River,,,金沙江(专指长江上游)、扬子江、天堑、九派,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉江,汉江,,,,,"汉水,汉江河",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武汉国际机场,武汉天河国际机场,,Wuhan Tianhe International Airport,,,,,,,,,,,,,,,,,,,,,,,中国湖北省武汉市,,,,,,,,,,,,,,
三峡,,长江三峡,,,,,,,,,,,,,,,,,,,,,,,,,重庆市、湖北宜昌,,,瞿塘峡 巫峡 西陵峡,,,,,,,,,,
利兹,,利兹,,,,,,,,,,,,,,,,,,,,,,,首府,"英国中部,英格兰北部","奔宁山脉东麓,艾尔河畔",,,,,,,,,,,,,
京津城际铁路,京津城际铁路,,Beijing-Tianjin Intercity Railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京首都国际机场,北京首都国际机场,,Beijing Capital International Airport,,,,,,,,,,,,,,,,,,,,,,,中国北京市,,,,,,,,,,,,,,
伦敦希斯罗机场,希思罗机场,,Heathrow Airport,,,,,,,,,,,,,,,,,,,,,,,英国英格兰大伦敦希灵登区,,,,,,,,,,,,,,
莱比锡,莱比锡,,Leipzig,,,稻城,,,,,,,,,,,,,,,,,,,市,德国萨克森州,德国东部,,,"莱比锡音乐厅,尼古拉教堂,托马斯教堂",,,,,,,,,,
上海市,上海,,Shanghai,,,沪、申城、魔都,,,,,,,,,,,,,,,,,,310000000000,直辖市,中国华东地区,华东地区,16个市辖区[14] ,黄浦区人民大道200号,外滩、豫园、南京路、人民广场、静安寺、新天地、上海迪士尼度假区,,,,,,龚正[15] ,李强,,,
中国国际展览中心新馆,中国国际展览中心新馆,,,,,,,,,,,,,,,,,,,,,,,,,北京市,北京顺义区天竺空港城温榆河畔,,,,,,,,,,,,,
阿姆斯特丹,阿姆斯特丹,,Amsterdam,,,钻石之都、北方威尼斯,,,,,,,,,,,,,,,,,,,"自治城市,首都",北荷兰省,北纬:52°22′23′′东经: 4°53′32′′,,荷兰·海牙市,运河网、荷兰国家博物馆、凡·高博物馆、安妮之家等,,,,,,埃伯哈德·范德拉恩,,,,
伦巴,伦巴,,Rumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东南,东南地区,,dong nan,,,东南、华东地区、华南地区,,,,,,,,,,,,,,,,,,,地区,中国,中国东南部,江苏/浙江/上海/广东/广西/福建/江西/安徽/海南/台湾/香港/澳门,南京/杭州/上海/广州/南宁/福州/南昌/合肥/海口/台北/香港/澳门,中山陵、杭州西湖、庐山、黄山、东方明珠、桂林山水、日月潭等,,,,,,,,,,
莫里森,斯科特·莫里森,,Scott Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罗马街,,罗马街,,,,,,,,,,,,,,,,,,,,,,,,,位于雁山区雁山镇以南800米桂阳公路东侧,,,,,,,,,,,,,
内布拉斯加州,,内布拉斯加州,,,,NE,,,,,,,,,,,,,,,,,,,联邦州,,,俄马哈等 Omaha,林肯市 Lincoln,,,,,,,,,,,
罗湖,罗湖区,,Luohu District,,,,,,,,,,,,,,,,,,,,,,市辖区,中国华南,深圳市中部与香港交界,10个街道,罗湖区文锦中路1008号,元勋旧址、地王大厦、梧桐山、洪湖公园、弘法寺、深圳荔枝公园等,,,,,,,,,,
落马洲,落马洲,,Lok Ma Chau,,,勒马洲,,,,,,,,,,,,,,,,,,,,珠江三角洲,中国香港元朗区,元朗,香港新界,,,,,,,,,,,
西九龙站,香港西九龙站,,Hong Kong West Kowloon Railway Station,,,,,,,,,,,,,,,,,,,,,,,中国香港特别行政区,,,,,,,,,,,,,,
奥运场馆,北京奥运场馆,,Beijing Olympic stadiums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德拉古,德拉古,,Draco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杜伊斯堡,杜伊斯堡,,Duisburg,,,,,,,,,,,,,,,,,,,,,,市,杜塞尔多夫行政区,,,,,,,,,,,,,,
布达佩斯,布达佩斯,,Budapest,,,欧洲之心、多瑙河明珠、自由之都、温泉之都、节庆之都,,,,,,,,,,,,,,,,,,,,欧洲,,23区,布达城堡山,多瑙河、塞切尼链桥、英雄广场、,,,,,,,,,,
匹茨堡,匹兹堡,,Pittsburgh,,,世界钢铁之都,,,,,,,美国东部时区,,,,,,,,,,,,市,美国宾夕法尼亚州,美国东部,,"414 Grant St, Pittsburgh, PA 15219",卡内基自然历史博物馆、安迪·沃霍尔美术馆、匹兹堡大学Cathedral of Learning,,,,,,卢克,,,,
西德,,联邦德国,,The Federal Republic of Germany,西德(West Germany),,DE、DEU,联邦制,阿登纳、维利·勃兰特、约阿希姆·高克,"波恩,两德统一后迁都柏林","248,577 平方公里(1990年)",欧洲,UTC+1(夏时制:UTC+2),德国马克、欧元,德意志人,基督新教、天主教,"法兰克福,慕尼黑,不莱梅等",德语,《德意志之歌》,,,,,,,,,,,,,,,,,,,,,
克里普,克里普,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福克兰群岛,马尔维纳斯群岛,,英语:Falkland Islands西班牙语:Islas Malvinas,,,福克兰群岛,,,,,,,UTC-3,,,,,,,,,,,,省级,,南美洲大陆东南端,东福克兰岛、西福克兰岛以及776个小岛,斯坦利,"西点(West Point),马岛战争纪念墙",,,,,,,,,,
福克兰,福克兰,,Islas Malvinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣何塞,圣何塞,,San Jose,,,"圣荷西,旧译:山河城",,,,,,,,,,,,,,,,,,,市,美国加州圣克拉拉县[1] ,"北加州旧金山湾区南岸,北纬37°20′07′′ 西经121°53′31′′",,"200 E Santa Clara St, San Jose, CA 95113[4] ",硅谷,,,,,,,,,,
NHS,英国国家医疗服务体系,,"National Health Service, the United Kingdom",,,NHS.UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴拿马,,巴拿马共和国[1] ,,"The Republic of Panama,la República de Panamá[1] ",巴拿马,,PAN,总统制共和制,总统:劳伦蒂诺·科尔蒂索·科恩[1] ,"巴拿马城(Panama City,Ciudad de Panamá)[1] ",7.55万平方公里,北美洲,UTC-5,美元、巴波亚(Balboa),印欧混血种、非裔、欧裔、华裔、印地安人[1] ,天主教[1] ,"科隆市,戴维,圣地亚哥等",西班牙语[1] ,《地峡颂》,1903年11月3日,,,,,,,,,,,,,,,,,,,,
布鲁克林区,布鲁克林区,,Brooklyn,,,"布鲁伦,金斯县",,,,,,,,,,,,英语,,,,,,,,,,,,,,,,,,,,,,
鄂州,鄂州,,Ezhou City,,,吴都、古武昌,,,,,,,,,,,,,,,,,,,地级市,中国华中地区、湖北省,"湖北省东部,长江中游南岸",梁子湖区、华容区、鄂城区,鄂城区滨湖北路特1号,梁子湖/红莲湖度假区、莲花山/西山风景区、吴王城、观音阁公园等,,,,,,,,,,
仙桃,仙桃市,,Xiantao,,,沔阳、复州、沔州,,,,,,,,,,,,,,,,,,429004,省直辖县级行政单位,湖北省,"湖北省中南部,江汉平原腹地",3街道、15镇、7乡级单位,仙桃市沔州大道特1号,仙桃梦里水乡、沔阳小镇、陈友谅纪念馆、沙湖国家湿地公园、沔街、沔城,,,,,,,,,,
枝江,枝江,,Zhijiang,,,丹阳,,,,,,,,,,,,,,,,,,420583,县级市,湖北省宜昌市,长江中游北岸、江汉平原西缘,1个街道、8个镇[8] ,马家店街道胜利路28号,江口老街、步步升布鞋文化村等,,,,,,余峰[10] ,贾立,,,
潜江,潜江,,Qianjiang,,,石油城,,,,,,,,,,,,,,,,,,429005,省直辖县级行政单位,湖北省,"湖北省中南部,江汉平原腹地",6个街道、10个镇[6] ,园林街道章华南路18号,曹禺公园、水杉公园、兴隆水利枢纽、章华台等,,,,,,,,,,
