实体名称,中文名,外文名,别名,性别,国籍,民族,祖籍,出生地,出生日期,职业,职务,职称,所属政党,政党,语言,净资产,毕业院校,学历,信仰,主要成就,代表作品,父母,妻子,人物评价,人物影响,对华关系,对华政策,政见,立场,军衔
奥胡米克,奥胡米克,,,,美国,,,,,运动员 篮球,,,,,,,,,,,,,,,,,,,,
徐静,徐静,徐静,,女,中国,汉,,,,,,,,,,,,,,,,,,,,,,,,
 苏晓晖,苏晓晖[1] ,,,,,,,,,,国际战略研究所副所长,中国国际问题研究院副研究员[1] ,,,,,,,,,,,,,,,,,,
斯科特•沃克,斯科特·沃克,Scott Walker,,,英国,,,,,音乐家,,,,,,,,,,,《Scott 1》《Soused》,,,,,,,,,
雅各布·布雷克,雅各布·布莱克,,,,美国,,,,,,,,,,,,,,,,,,,,,,,,,
韦德,小德怀恩·泰隆·韦德,"Dwyane Tyrone Wade, Jr.",闪电侠、D-Wade、WOW,,美国,,,美国伊利诺伊州芝加哥,1982年1月17日,,,,,,,,马奎特大学,,,,,,,,,,,,,
迈卡威,迈克尔·卡特-威廉姆斯,Michael Carter-Williams,迈卡威(MCW),,美国,,,美国马萨诸塞州汉密尔顿,1991年10月10日,,,,,,,,雪城大学,,,,,,,,,,,,,
刘锋,刘锋,,,,中国,汉族,,湖南衡阳,1964年8月,,,,,,,,上饶师范专科学校,,,,,,,,,,,,,
朱松岭,朱松岭,,,,中华人民共和国,,,山东临沂,1971年,教师,北京联合大学台湾研究院两岸研究所所长,教授,,,,,中国人民大学法学院,,,,,,,,,,,,,
李雪 ,李雪,,,,中国,,,山东省,,导演、摄影,,,,,,,,,,第19届上海电视节-白玉兰奖最佳导演奖第22届上海电视节-白玉兰奖最佳导演奖,温州一家人、北平无战事、琅琊榜、伪装者、外科风云,,,李雪是学摄影出身，对于光与影有着独特的追求 [40]  （新华网评）。李雪参与《闯关东》、《生死线》等剧的拍摄，具有专业素质、敬业精神和创作热情，擅长用镜打动人心，后来逐渐由摄影向导演转型，他独立执导的《伪装者》受到观众的认可,,,,,,
宋忠平,宋忠平,,,,中国,汉族,,陕西西安,1971年,军事评论、应急管理、专栏作者,,,,,,,第二炮兵工程学院,,,特约军事评论员出版多本军事著作,《美国来了》《强国利器》《大国武器》《导弹控制系统概述》等,,,,,,,,,
格拉泽,格拉泽,"Glaser,Günther",,,德国,,,,,物理学家,,,,,,,,,,,,,,,,,,,,
陈挥文,陈挥文,,,,,,台湾花莲县,,,,,,,,,,,,,,,,,,,,,,,
王鸿薇,王鸿薇,,,,中国,汉族,,台湾基隆,1964年7月10日,台北市议员,,,,,,,政治大学,,,,,,,,,,,,,
程东,程东,John Ching,程献栋,,中国,汉族,,香港,2月18日,演员、导演,,,,,,,,,,,电影:赌侠、整蛊专家、九品芝麻官、蔡李佛拳 电视剧:东江英雄刘黑仔、三打白骨精,,,,,,,,,
张春晖,张春晖,,,,中国,,,,,军人,,,,,,,,,,担任中国人民解放军东部战区新闻发言人,,,,,,,,,,大校
 程东,程东,John Ching,程献栋,,中国,汉族,,香港,2月18日,演员、导演,,,,,,,,,,,电影:赌侠、整蛊专家、九品芝麻官、蔡李佛拳 电视剧:东江英雄刘黑仔、三打白骨精,,,程东，香港电影界重要的甘草演员之一，因其形象别具一格，扮演怪异、风格化的角色简直信手拈来，是周星驰电影里不可或缺的黄金配角，而深受影迷喜爱。（搜狐娱乐评 [22]  ）程东不仅是星爷的绿叶，还是天王刘德华的最佳对手。在香港电影黄金时代，程东入行第一部戏，就是在《狱中龙》中，和刘德华上演正邪对决，并由此而一发不可收拾，一连合作了九部电影，除了《赌侠》《整蛊之王》，还有《挑战者》《杀手的童话》《赌城大亨II之至尊无敌》《龙腾四海》《与龙共舞》等。在这些影片中，程东和刘德华，不是你死我活的大打出手，就是枪林弹雨的火爆枪战对决，也因此被媒体一度戏称其是“香港电影第一反派”。,,,,,,
邱淑媞,邱淑媞,,,女,,,,,,,,,,,,,,博士,,,,,,,,,,,,
黄安,黄安,AN HUANG,安哥、小旋风、安公子,,,汉族,福建泉州,台湾省新竹县竹北市,1962年12月8日,歌手、主持人、演员,,,,,,,国立屏东农专畜牧科,,佛教,,新鸳鸯蝴蝶梦救姻缘奈何两字拉成桥八卦八卦我牵挂,,,黄安是个自信、乐观的艺人 [17]  。凭借《新鸳鸯蝴蝶梦》《样样红》等歌曲 [2]  ，被誉为“古典主义中国风”开山宗师 [18]  。凭主题曲《新鸳鸯蝴蝶梦》成为家喻户晓的歌手 [19]  。直到九四年由歌手转为主持并被称为“台湾读书较多的艺人”和“艺人中的李敖”，凭着机智搞笑的天份，博学古读的功底迅速在电视界打开独有的局面 [20]  。在《情僧》MV拍摄过程中黄安始终保持认真的态度，并以幽默风趣的言语带动整个拍摄气氛，使得MV的拍摄提前顺利完成,,,,,,
蔡正元,蔡正元,,,,中国,汉,,台湾省云林县,1953年12月25日,立法委员,,,,,,,台湾师范大学、哈佛大学、哥伦比亚大学,经济学博士,三民主义,2002年8月任国民党文化传播委员会主任。,,,,,,,,,,
赵少康,赵少康,,,,中国,汉族,,台湾基隆市,1950.11.16,媒体人,中国广播公司董事长兼总经理,,,,,,台湾大学,,三民主义,"新党创始人之一著名媒体人,1994年曾参选台北市长",《与你同行》、《我“爱”陈水扁》、《我笑陈水扁》等,,,"与李敖、陈文茜一起被列名为台湾三大名嘴的赵少康，从2005年起，在凤凰资讯台主持新闻黑客赵少康。
赵少康
赵少康
过去二十年，赵少康热心参与中国台湾政治，他曾与陈水扁角逐过台北市长，被陈水扁称呼为“可敬可怕的对手”。他曾是新党的“政治金童”，三度高票当选台北市议员。在马英九之前，他是泛蓝阵营最有人气的政治明星。",,,,新党在“建党宣言”中明确标榜将发挥“革新政治、安定政局、制衡两党”的作用，认同孙中山先生的理念，追求民族统一、政治民主、民生均富的目标，坚守公义、平等、安全、务实、干净的原则。,,
 张天行,张天行,,,男,,,,,,,,,,,,,,,,,,,,,,,,,,
康宁,康宁,,宁宁,,中国,满族,,辽宁省盘锦市,1995年8月10日,演员,,,,,,,辽宁公安司法管理干部学院,,,2019国剧盛典“媒体推荐女演员”[6] ,班淑传奇、后宫那些事儿、柠檬初上、楚乔传、花谢花飞花满天[8] ,,,被媒体誉为“95后警校校花”的康宁。2013年凭借优秀的外形条件和艺能素质，跳过艺考直接进入演艺圈。而这位拥有清澈微笑的95后混血小美女演艺前途则被业内人士一致看好,,,,,,
钟佳滨,钟佳滨,Zhong Jiabin,,,中国,汉族,,台湾,1965年,政治家,屏东县副县长,,,,,,台湾大学,,,,,,,,,,,,,
王义桅,王义桅,,,,中国,,,江西九江,1971年,教师,,教授,,,,,复旦大学,,,,,,,,,,,,,
崔洪建,崔洪建,,,男,中国,,,,,,,研究员,,,,,北京大学,,,,,,,,,,,,,
朱锋,朱锋,ZhuFeng,利吾,,中国,汉,,甘肃省敦煌市,1956年7月,法官,,,,,,,中央广播电视大学法学本科,,,,《书画纵横人物录》《中国人才世纪献辞》,,,,,,,,,
成晓河,成晓河,,,男,,,,,,教师,,,,,,,复旦大学国际政治系,,,,,,,,,,,,,
苏浩,苏浩,,,,中国,汉,,山西朔州,1959年3月,公务员,,,,,,,中国社会科学院,,,警务运行机制改革,,,,,,,,,,
海登,约翰·海登,,,,美国,,,美国路易斯维尔,1984/4/27,,,,,,,,,,,,,,,,,,,,,
弗莱克,弗莱克,John Fleck(John Alexander Fleck),约翰·弗莱克 (标准词),,苏格兰,,,格拉斯哥,1991年8月24日,,,,,,,,格拉斯格流浪者青训,,,,,,,,,,,,,
李明江,李明江,,,,,,,,,"主任医师,硕士生导师",,,,,,,威斯康辛大学,博士研究生,,熟练掌握子宫肌瘤、子宫内膜癌、子宫颈癌、卵巢肿瘤的手术治疗,,,,,,,,,,
西亚尔托,彼得·西亚尔托,,,男,匈牙利,,,,,匈牙利外交与贸易部长,,,,,,,,,,,,,,,,,,,,
舒畅,舒畅,Jennifer,畅畅、白小兔,,中国,,,吉林,1987年12月1日,演员、歌手,,,,,,,北京第二外国语学院,,,1995年国家广播电视总局“金童奖”2008年星光大典“年度最具突破电视演员”,宝莲灯、魔幻手机、烽火佳人、精卫填海、大唐荣耀、孝庄秘史、宫锁珠帘,,,舒畅5岁便成为摄影师的捕捉对象，灵气逼人，镜头感出奇地好，出众的气质中有种女孩特有的温柔、娴雅和沉静。十几岁的花季年龄，却能够有张有驰、出人意料地将《孝庄秘史》中的董鄂妃演绎得丝丝入扣，令人叹服,,,,,,
艾伦,艾伦,Allen,,,中国,汉族,,北京,4月10日,演员,,,,,,,北京电影学院,,,第九届澳洲国际华语电影节(ICFF)最佳男演员奖,羞羞的铁拳、夏洛特烦恼、情圣、李茶的姑妈、人间·喜剧[9] ,,,生长在北京的80后艾伦有着帅气的外形和高大的身材，和很多北京大男孩儿一样，开朗、大方、为人谦逊有礼，但和许多同龄男生不同的是，他吃苦耐劳，从来不计较角色的大小，每一部戏都勤勤恳恳、踏踏实实地演出,,,,,,
李易,李易,Li Yi,,,中国,汉族,,北京,1963年10月24日,播音配音演员,,,,,,,北京广播学院,,,,《再说长江》《探索发现》《周恩来外交风云》等配音作品,,,李易做到今天这个份儿上，没有刻苦努力，没有对事业的追求、执着与兢兢业业是不可能达到的。他能够几十年如一日那么认真、那么精心，每一个片子都努力做好，追求完美，一贯坚持着这样的工作态度和严谨的工作作风实在不易。,,,,,,
陈波,陈波,,,,,汉族,,,1975年10月,,,,,,,,,,,,,,,,,,,,,
鲍卡斯,马克斯·鲍克斯,Max Baucus,,男,美利坚合众国,,,美国-蒙大拿州-海伦娜,1941年12月11日,公务员、外交官,,,,,,,斯坦福大学法学博士,,基督教,,,,,,,,,,,
高峰,高峰,Gao Feng,快刀浪子、快马,,中国,汉族,,中国辽宁,1971年04月22日,,,,,,,,沈阳市体育运动学院,,,,,,,,,,,,,
彭博,迈克尔·布隆伯格,Michael Bloomberg,,,美国,,,波士顿,1942年(辛巳年)2月14日,企业家、慈善家,彭博慈善基金会创始人,,,,,,约翰斯·霍普金斯大学、哈佛大学,,犹太教改革派,创立彭博有限合伙企业和彭博慈善基金会联合国气候行动特使[10] 三度出任纽约市长,,,,世卫组织总干事陈冯富珍称布隆伯格是“一位非常有价值的合作伙伴”，说他长期支持世卫组织在禁烟等领域的工作。“因此我非常高兴任命他为非传染性疾病的全球大使。这必将加强我们共同应对主要公共卫生挑战的合作。”,,,,,,
史蒂文森,罗伯特·路易斯·史蒂文森,Robert Louis Stevenson,,,英国,,,苏格兰爱丁堡,1850年11月13日,"文学家,作家",,,,,,,,,,英国文学新浪漫主义的代表之一,《金银岛》《化身博士》《绑架》《卡特丽娜》等,,,评论家毕奇克拉福特在《英国短篇小说》一书中指出：“罗伯特·路易斯·史蒂文森大概是英伦诸岛第一个因短篇小说而有分量的人。不提他的短篇，这个作家就不好评论。”,史蒂文森在世时是一位名人，但随着现代文学在第一次世界大战崛起后，他的作品被归类为儿童文学与恐怖小说的类型。史蒂文森遭到一些像维吉尼亚·伍尔芙与伦纳德·伍尔夫（Leonard Woolf）的批评，而他也逐渐被排除在学校教授的文学经典之外。这种情况在1973年达到巅峰，当年厚达2000页的《牛津英文文学选集》完全忽略了史蒂文森。而《诺顿英国文学选集》从1968年到2000年为止也没有提到史蒂文森，只有2006年的第8版才包括他在内。在20世纪晚期，史蒂文森开始被重新评价成一位拥有过人洞察力的艺术家、文学理论家、随笔作家与社会评论家，也被认为是南太平洋殖民历史的见证人与人类学家。随着新的学术研究，他被认为与约瑟夫·康拉德及亨利·詹姆斯地位相当。无论学术反应是如何，史蒂文森仍然是非常受欢迎的。根据《翻译索引》（Index Translationum）的资料显示，史蒂文森排名第25位，位于查尔斯·狄更斯、奥斯卡·王尔德与爱伦·坡之前。,,,,,
凯恩,哈里·凯恩,Harry Kane,,,英国,,,伦敦,1993年7月28日,,,,,,,,,,,,,,,,,,,,,
郝福满,郝福满,Bert Hofman,,男,,,,荷兰,,,,,,,,,,,,,,,,,,,,,,
米德伟,米德伟,Derek Mitchell,,男,,,,,,,美国国际事务民主协会总裁,,,,,,,,,,,,,,,,,,,
特温宁,特温宁,Daniel Twining,,男,,,,,,,美国国际共和研究所总裁,,,,,,,,,,,,,,,,,,,
陈婧 ,陈婧,,,,中国,汉族,,河南郑州,8月8日,演员,,,,,,,中国传媒大学,,,,,,,,,,,,,
杨俊伟,杨俊伟,,,,,,,河南,7月11日,导演、歌手、模特、演员,,,,,,,,,,,,,,,,,,,,
黄靖,黄靖,Jing Wong,,,中国,汉,,中国香港,1981年12月9日,歌手、设计师,,,,,,,伦敦中央圣马丁艺术设计学院,,,,You are in Everything I do,,,,,,,,,
迈克•蓬佩奥,迈克·蓬佩奥,Mike Pompeo,,,美国,意大利裔[2] ,,加利福尼亚州奥兰治,1963年12月30日[1] ,,美国第70任国务卿,,,,,,西点军校、哈佛大学法学院,,,曾任美国堪萨斯州共和党国会议员、美国众议院情报委员会成员,,,,,,,,,,
理查德•尼克松,理查德·米尔豪斯·尼克松,Richard Milhous Nixon,,,美国,,,,1913年1月9日,"政治家,军人,律师",,,,,,,杜克大学法学院(1937年),,,获得两枚战斗之星,,,,,,,,,,
唐纳德•特朗普,唐纳德·特朗普[6] ,Donald Trump,Donald John Trump、川普,,美国,德意志人[1] ,,美国纽约,1946年6月14日,,政治家、企业家、房地产商人、电视人,,美国共和党,,,21亿美元(2020年4月)[7] ,宾夕法尼亚大学沃顿商学院,,,第45任美国总统(2016年-)《时代周刊》2016年度人物,做生意的艺术学徒,,,特朗普是个善于反向思维的商人，极为务实的强人，同时也是一个难缠的政治异类。他搅乱了世界的秩序，也搅乱了人们对大国领袖的认知。在他崛起的背后，是一波汹涌的民粹主义潮流，是对贫富分化鸿沟的愤怒，也是美国乃至世界一道深深的分裂伤痕。对这样一位踏入美国最高政治殿堂的人物，人们喜欢也好，讨厌也罢，甚至讥讽或谩骂都无关紧要。爱或者不爱，他就在那里,,,特朗普重构中美关系的重点是重新打造中美关系的框架与内涵，以经贸关系为突破口，同时在外交、安全、政治、人文等领域全面发力。重构经贸关系包括两方面：一是谋求扩大美国在华商业利益，二是谋求限制中国力量增长。调整美国对台政策框架也是特朗普政府重构中美关系的重要一环。凸显对华政治竞争也是特朗普政府重构中美关系的一个突出特点。在社会和人文交流领域，特朗普政府采取了前所未有的限制措施。特朗普政府还试图重构中美互动方式。,,,
迪伦,鲍勃·迪伦,Bob Dylan,Robert Allan Zimmerman,,美国,犹太人[8] ,,美国明尼苏达州,1941年5月24日,歌手、创作人、作家、演员、画家,,,,,,,明尼苏达大学,,犹太教,1991年格莱美终身成就奖2001年奥斯卡最佳原创歌曲奖[9] 2001年金球奖最佳原创歌曲奖2008年普利策奖特别荣誉奖2008年诺贝尔文学奖提名展开主要成就1991年格莱美终身成就奖2001年奥斯卡最佳原创歌曲奖[9] 2001年金球奖最佳原创歌曲奖2008年普利策奖特别荣誉奖2008年诺贝尔文学奖提名2013年法国荣誉军团骑士勋章2016年诺贝尔文学奖收起,,,,"在法国看来，鲍勃·迪伦赋予音乐的、可以改变人类和世界的颠覆
2012年奥巴马为其颁发总统自由勋章
2012年奥巴马为其颁发总统自由勋章(3张)
性力量",,,,,,
刘柳 ,刘柳,,,女,中国,汉族,,南京,1983年,,,,,,,,香港大学,,,,,,,,,,,,,
卡伦鲍尔,安妮格雷特·克兰普-卡伦鲍尔,Annegret Kramp-Karrenbauer[3] ,AKK[4] ,,德国,,,萨尔州[5] ,1962年[5] ,,政治家,,,,,,特里尔大学、萨尔兰大学[5] ,,,,,,,,,,,,,
卡塞尔,萨姆·卡塞尔,Sam Cassell,ET、外星人,,美国,,,美国马里兰州巴尔的摩,1969年11月18日,,,,,,,,佛罗里达州立大学,,,,,,,,,,,,,
克里斯托弗·雷,克里斯托弗·雷,Christopher Wray,,,美国,,,,,"政府工作人员,律师",,,,,,,,,,2003年至2005年曾担任美国司法部刑事庭助理检察官现任联邦调查局局长[1] ,,,,"特朗普表示:“我将提名克里斯托弗·雷,一个无可挑剔的人,为新任联邦调查局局长。”",,,,,,
奥布赖恩,爱尔兰,,奥拜恩,,爱尔兰,,,都柏林,1986年2月17日,,,,,,,,,,,,,,,,,,,,,
老布什,乔治·赫伯特·沃克·布什,George Herbert Walker Bush,老布什,,美国,,,马萨诸塞州米尔顿市,1924年6月12日,"政治家,军人",,,,,,,耶鲁大学,,美国圣公会,美国第51届第41任总统时代周刊年度风云人物(1990年),,,,"乔治·赫伯特·沃克·布什是一位拥有最高尚品格的男人，也是作为儿女可以拥有的最好的父亲。（前美国总统小布什评）
他领导力强、正直、富有激情而又谦逊，是“一名卓有成效的领导人”。（前国务卿詹姆斯·贝克评）
他的一生证实服务公众是一项高尚、充满乐趣的使命，他在这一过程中表现出色。",,,,,,
布什,布什,Bush,布希、布殊,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	罗斯",德里克·马特尔·罗斯,Derrick Martell Rose,风城玫瑰,,美国,,,美国伊利诺伊州芝加哥,1988年10月4日,,,,,,,,孟菲斯大学,,,,,,,,,,,,,
奥通巴耶娃,萝扎·奥通巴耶娃,,,,吉尔吉斯斯坦,吉尔吉斯族,,奥什市,1950年8月23日,社会民主党党员,,,,,,,莫斯科国家大学,,,2010年7月3日-2011年12月31日 吉尔吉斯斯坦过渡时期总统上海政法学院名誉教授,,,,,,,,,,
陆克文,凯文·迈克尔·拉德,Kevin Michael Rudd,陆克文,,澳大利亚,,,澳大利亚昆士兰州楠伯镇,1957年9月21日,,,,,,,,澳大利亚国立大学,,圣公宗,昆士兰州幕僚长澳大利亚工党领袖第26任澳大利亚总理澳大利亚外交部长美国亚洲协会会长展开主要成就昆士兰州幕僚长澳大利亚工党领袖第26任澳大利亚总理澳大利亚外交部长美国亚洲协会会长世界水理事会SWA项目的主任收起,,,,,,,,,,
梅西奇,斯捷潘·梅西奇,Stjepan Mesic,,,,,,奥拉霍维察,1934年12月24日,,担任南联邦主席团主席,,,,,,萨格勒布大学,,,,,,,,,"2008年8月来北京参加第29届奥运会开幕式及相关活动。
2013年11月8日，来华参加当代世界多边对话会并与中国国家副主席李源潮在北京会晤。",,,,
本德,拉尔斯·本德尔,Lars Bender,,,德国,,,罗森海姆,1989年4月27日,,,,,,,,慕尼黑1860青训,,,,,,,,,,,,,
沃尔,约翰·沃尔,John Wall,,,美国,,,美国北卡罗来纳州罗利,1990年9月6日,,,,,,,,肯塔基大学,,,,,,,,,,,,,
范士丹,黛安娜·范斯坦,Dianne Goldman Berman Feinstein,,,美国,,,,1933年6月22日,,,,,,,,,,,,,,,,,,,,,
舒默,查尔斯·舒默,"Charles Ellis ""Chuck"" Schumer",查克·舒默,,美国,,,纽约布鲁克林,1950年11月23日,,,,,,,,,,,,,,,,,,"2005年在人民币汇率问题上，舒默为强压人民币升值，曾和另一位参议员格雷汉姆联合提出“舒默议案”，声称中国如果不在6个月内调整人民币汇率，美国将对所有进口的中国商品加征27.5%的惩罚性关税。而在人民币升值后，舒默仍然不依不饶，发誓要向北京施加新的压力，以使之营造一个“更加开放”的投资环境。
中海油竞购尤尼科事件
在中海油竞购尤尼科的问题上，舒默也扮演了重要的角色。在美国参议院最近批准的一项修正案中，对海外企业主导的收购美国公司的交易增加了新的障碍，显示出对类似中海油竞购案的担忧，而这也是由舒默提出的。值得注意的是，这项修正案不允许联邦政府批准外国政府控股的公司进行的并购交易，除非国务院向国会汇报该国的投资环境；它同时还要求国务院评估并购案所涉及的外国政府是否会批准美国企业对该国国内企业实施购买、收购、合并或与之建立合作关系
2010年3月16日
舒默提出升级版本的舒默议案",,,
波利扬斯基,波利扬斯基,Polyanskyy,,,乌克兰,,,顿涅茨克(乌克兰),1986/4/12,,,,,,,,,,,,,,,,,,,,,
张军,张军,,,,中国,汉族,,山东博兴,1956年10月,,,,,,,,中国人民大学,,,,,,,,,,,,,
米尔斯,帕蒂·米尔斯,Patty Mills,,,澳大利亚,,,澳大利亚堪培拉,1988年8月11日,,,,,,,,圣玛丽大学,,,,,,,,,,,,,
李光耀,李光耀,Lee Kuan Yew,,,新加坡,,广东省梅州市大埔县党溪乡,新加坡,1923年09月16日,,,,,,英语、华语、马来语、日语等,,新加坡莱佛士学院,,,新加坡首任总理(开国元首),《李光耀观天下》,,,李光耀为新加坡的独立及崛起做出卓越贡献，被誉为“新加坡国父”。李光耀不仅是新加坡的开国元老之一，也是现今新加坡政坛极具影响力的人物之一，在担任新加坡总理的数十年间，他排挤政敌，对西方的批评置之不理，牢牢掌握政权，领导新加坡实现了政治独立和经济繁荣，把一个缺乏生机的城市国家变成了一个全球贸易和金融中心——新加坡已经成为仅次于日本的亚洲第二富国。,,李光耀在70年代末开始与中国大陆交往，双方都放弃了60年代时敌对的政策，会晤过毛泽东、周恩来、邓小平、江泽民、胡锦涛等多位中国领导人，对中国的改革开放政策制定方面有重要影响。李光耀表示，中国自实行改革开放政策以来，政治稳定，经济快速发展，社会面貌发生了巨大变化，这不仅造福中国人民，也为地区和世界和平繁荣作出了重要贡献。李光耀的讲话在中国引发了很多网民的不满。大量网民抱怨“把他们当华人，他们却不把中国人当自己人”。,,,,
施瓦茨,施瓦茨,Hermann Amandus Schwarz,,,法国,,,,1843.1.25,,,,,,,,,,,,,,,,,,,,,
王军,王军,,,,,汉族,,河南商丘,1958年11月,,,,,,,,北京大学,,,,,,,,2014年12月，当选2014年度全球税收领域最具影响力人物。,,,,,
赫德森,赫德森,Hudson,,,,,,,,,,,,,,,,,,汉普顿宫廷委员会委员。,,,,,,,,,,
米勒,温特沃斯·米勒,Wentworth Miller,Miller、Went、Stinky、米帅,,美国,,,英国牛津郡奇平诺顿,1972年6月2日,演员、编剧,,,,,,,普林斯顿大学,,,第63届美国金球奖电视类-剧情类剧集最佳男主角奖(提名)第32届土星奖最佳电视男主角奖(提名)第10届青少年选择奖最佳动作冒险TV男演员奖(提名)第9届青少年选择奖最佳剧情TV男演员奖(提名)第8届青少年选择奖最佳突破TV明星奖(提名),越狱、生化危机:战神再生、绝望之室,,,温特沃斯·米勒兼具英俊的外形和娴熟的演技 [15]  ，还有深邃的眼眸 [16]  、冷静的头脑、处变不惊的胆识 [17]  。在电视剧《越狱》中，一身天蓝色狱服，干净的板刷头，深邃的翡翠绿眼睛，还有一身印有监狱构造图的纹身，成为了温特沃斯·米勒的银幕标志 [18]  。而且，他将个人魅力发挥到极致。极致、冷静、重情重义的他在两个帮派之间游走，有条不紊地实施着越狱计划 [16]  。同时，他完美地塑造了这一性格复杂、坚强而又敏感、智商过人、为家人战斗的年轻人角色,,,,,,
柯林斯,迈克尔·柯林斯,Michael Collins,爱尔兰国父,,爱尔兰,,,,1890年10月16日 ,革命家、军人,,,,,,,,,,,,,,,,,,,,
唐任伍,唐任伍,,,,中国,,,湖南邵阳[1] ,1954年12月[1] ,教师[2] ,北京师范大学政府管理研究院院长,教授,,,,,,,,获北京师范大学哲学社会科学优秀成果奖,《现代资本主义论》,,,,,,,,,
李文,李文,Hedy W. Lee,,,美国,汉族,,美国纽约,,作家,,英语教授,,,,,纽约大学;哥伦比亚大学;旧金山大学,,,,《英文习语精解》《李文说理》,,,,,,,,,
诺里,诺里,Nouri,,,伊朗,,,安扎利港,1980/7/13,,,,,,,,,,,,,,,,,,,,,
李永宁,李永宁,,,,中国,汉,,,,,,教授,,,,,江西大学、哈佛大学,,,,,,,,,,,,,
比尔盖茨,比尔·盖茨,Bill Gates,威廉·亨利·盖茨三世(全名),,美国,,,美国华盛顿州西雅图,1955年(乙未年)10月28日,企业家、慈善家、软件工程师,,,,,,,,,,微软公司(Microsoft)创始人连续13年福布斯全球富翁榜首富连续20年福布斯美国富翁榜首富,视窗操作系统 Windows,,,他享受辩论，就想听到不同观点，又总是想赢。可是好胜心和好奇心，并没有影响盖茨最终成为一个谦虚的人。,,,,,,
沈丁立,沈丁立,,,,中华人民共和国,,,上海,1961年,,,教授,,,,,复旦大学,,,美国海军研究所海外会员,,,,,,,,,,
施一,施一,,,,中国,,,,,中科院微生物所研究员,,,,,,,,,,研究员,,,,,,,,,,
费奇,费奇,,,,中国,,,江苏吴江,1939年7月,,,教授,,,,,,,,1988年获国家物资部科技进步奖,“智能型资源分配与货物调运系统”,,,,,,,,,
王江雨,王江雨,,,,中国,,,,,法学教授[3] ,,,,,,,美国宾夕法尼亚大学,,,教育部“新世纪优秀人才支持计划”[4] ,,,,,,,,,,
纳朗,纳朗,Gagan Narang,,,印度,,,,1983.5.6,,,,,,,,,,,,,,,,,,,,,
刘卫东,刘卫东,,,,中国,汉族,,,1967年,律师,,,,,,,吉林大学管理学院,,,北京市“十佳房地产律师”,,,,,,,,,,
任国强,任国强,,,,中国,,,山东,1975年,军人,,,,,,,西安陆军学院,,,,,,,,,,,,,
米特•罗姆尼,威拉德·米特·罗姆尼,Willard Mitt Romney,,男,美利坚合众国,,,密歇根州底特律,1947年3月12日,"政治家,企业家",,,,共和党,,,"哈佛大学,杨百翰大学",,摩门教,曾挽救严重亏损的盐湖城冬奥会马萨诸塞州第70任州长2012年美国总统候选人,,,,,,,,,,
延斯•斯托尔滕贝格,延斯·斯托尔滕贝格,挪威语:Jens Stoltenberg,,,挪威,,,挪威奥斯陆,1959年3月16日,"政治家,经济学家",,,,挪威工党,,,奥斯陆大学,,无神论者,,,,,"普京评价说：“我们关系甚笃，包括私人关系……他非常认真负责，我们将看看他担任新职务后我们的关系会如何发展。” [7] 
挪威研究机构奥斯陆国际和平研究所主管克里斯蒂安·贝格·哈普维肯说：“他几乎不与人发生冲突，他是个‘共识制造者’……我期待更多温和的言辞，他将尝试敞开对话大门。”",,,,,,
约翰•海腾,约翰·海滕,John E. Hyten,,,美国,,,,,,美国参谋长联席会议副主席,,,,,,哈佛大学,,,,,,,,,,,,,
于泽远,于泽远,,,,,,,,,记者、编辑,,,,,,,信阳师范,,,,,,,,,,,,,
孙立平,孙立平,,,,中国,汉,,辽宁省,1955年5月7日出生,教师,,教授,,,,,南开大学社会学、北京大学中文系,,,,《社会现代化》《发展的反省与探索》《传统与变迁》《断裂》《转型与断裂》《失衡》,,,,,,,,,
吉尔迪,吉尔迪,Gildea,,,英格兰,,,英格兰,1980/9/15,,,,,,,,,,,,,,,,,,,,,
王云飞,王云飞,,,男,中国,汉族,,,,动画导演、编剧,,,,,,,辽宁师范大学,,,第11届中国动漫金龙奖动画长片金奖第15届华表奖优秀动画片金奖2012年美猴奖最佳动画长篇奖,《神秘世界历险记》系列、《快乐东西》系列,,,2012年12月4日，王云飞的《神秘世界历险记》在中国动画年会上取得了中国动画电影的最高奖——美猴奖。《神秘世界历险记》的成功，也奠定了王云飞在中国动画电影界一线导演的地位。他计划与沈阳的几所高校合作共同创办东北最大的动画电影制作基地，为动画电影培养更多的创作人才。,,,,,,
克兰普-卡伦鲍尔,安妮格雷特·克兰普-卡伦鲍尔,Annegret Kramp-Karrenbauer[3] ,AKK[4] ,,德国,,,萨尔州[5] ,1962年[5] ,,政治家,,,,,,特里尔大学、萨尔兰大学[5] ,,,,,,,,,,,,,
亓乐义,亓乐义,,,,中国,,山东省莱芜市莱城区方下镇王家岭,台湾省,1959年,军事记者,,,,,,,美国北德州大学,,,,"《高雄战略-看台澎防卫作战新思维》,)、《捍卫行动-一九九六台海飞弹危机风云录》",,,,,,,,,
达扬,摩西·达扬,Mose Dayan,,,,,,,1915年5月20日,,,,,,,,,,,,1959~1964年任农业部长;1967~1974年任国防部长,,,1 0月2 9日，下午4时2 0分，以色列空军1 6架“达科达”运输机载着2 0 2空降旅一个营约4 0 0名的士兵，出其不意地飞越西奈半岛埃及一侧领空，空降在埃及米特拉山腹地，第二次中东战争拉开序幕。达扬亲率大军挥师南征，一路过关斩将，威风凛凛。,,,,,,
